upmm,anode_entrance
-7.6380723,-2.5498417
-7.5666517,-1.917666
-7.5625878,-2.3349053
-7.5591715,-2.6447682
-7.5583392,-2.4412581
-7.5531589,-2.5769003
-7.5281357,-2.2001727
-7.5262034,-2.6941506
-7.524001,-2.2054582
-7.5129744,-1.8973406
-7.4830195,-2.8189663
-7.472625,-1.8344633
-7.4572384,-2.5971167
-7.4390807,-2.2827068
-7.4300113,-2.1321111
-7.42771,-2.0421902
-7.4227155,0.061067933
-7.4194898,-1.9248618
-7.417008,-1.5784738
-7.4146415,-2.4060315
-7.4005463,0.062554336
-7.3807475,-1.9191006
-7.378661,-2.782201
-7.3779799,-0.20666918
-7.3737141,-2.5629809
-7.3661356,-2.5767372
-7.3614491,-0.45018306
-7.3512564,-2.3886901
-7.3488555,-0.3814274
-7.3403289,0.38676503
-7.3347942,-0.32588538
-7.3284994,-0.38189049
-7.3237478,-0.5519824
-7.3227114,-2.5994583
-7.3199109,-2.5971249
-7.3197706,-0.53407158
-7.3177545,-3.3342644
-7.3164996,-1.3199965
-7.3150702,-0.28892139
-7.3146959,-0.47378592
-7.3107472,-0.65167846
-7.3059582,-0.83948017
-7.3040234,-2.4497775
-7.3030898,-0.87473837
-7.3020635,-0.62256891
-7.3015831,-1.6389771
-7.3011454,-0.056800695
-7.282499,-2.7514206
-7.2821112,-0.40808877
-7.2714823,-0.75500824
-7.265728,-0.37264861
-7.2627976,-2.6982161
-7.257224,0.045229924
-7.2549944,-1.6862572
-7.2541862,-2.7278553
-7.2537872,-0.50054206
-7.2514695,-1.9174919
-7.2498175,0.25491085
-7.2473611,-0.91929319
-7.2473449,-2.4254829
-7.2435035,0.47520232
-7.2398436,-0.17205521
-7.2364183,-1.6686623
-7.2322325,-1.0836702
-7.2294872,-1.1420937
-7.2259433,-2.8463214
-7.2247302,0.060039828
-7.2235282,-2.4233609
-7.2234099,-1.0584526
-7.2220546,-1.4038932
-7.2211575,-0.99547212
-7.2209154,-1.1355846
-7.2192026,-0.20672618
-7.2189092,-1.8999036
-7.2179864,-1.6021138
-7.2144972,-0.66068051
-7.2104579,-0.62998142
-7.2033344,-0.84735677
-7.2006271,-0.30807568
-7.1985213,0.47627951
-7.1938572,-1.3725937
-7.1865887,-2.6842224
-7.1862749,-0.52366036
-7.1843264,-2.6871596
-7.1837302,-1.1315145
-7.1813659,-2.0394702
-7.1774631,-0.68393854
-7.1762574,-3.0737514
-7.1758049,-2.2897556
-7.1756614,0.12887471
-7.1750165,-0.15354036
-7.174071,0.0053584926
-7.1734464,-0.53202621
-7.1732768,-1.8134139
-7.1670747,-0.10897811
-7.1657922,-1.4114792
-7.1656111,-0.38073226
-7.1644896,-2.122673
-7.1638933,-0.00014463838
-7.1631997,-0.066921167
-7.160215,-0.6716106
-7.159438,-3.3679574
-7.1565736,-2.499383
-7.1523413,-0.76247518
-7.1493083,-1.0669138
-7.1462641,-1.3649166
-7.1441442,-1.2702758
-7.1412577,-1.6496506
-7.1411724,-0.70343345
-7.1411531,0.53861565
-7.1398965,-3.1238474
-7.1379885,-0.21712503
