upmm,anode_entrance
-12.058224,1.184853
-11.843327,2.2615835
-11.815403,1.8371054
-11.728506,0.6474321
-11.705042,4.8325001
-11.670063,2.1240173
-11.6604,2.3542489
-11.648771,2.8610398
-11.636216,1.6874664
-11.60475,3.0872514
-11.595677,2.4594766
-11.591219,1.8202945
-11.582282,2.638392
-11.57989,2.9442932
-11.57364,3.1216307
-11.561138,1.7135117
-11.560805,2.552508
-11.557555,1.2238626
-11.557547,1.8132087
-11.553319,2.6717722
-11.546119,1.3872384
-11.541878,1.6899596
-11.531944,0.65357711
-11.525643,2.9686027
-11.519931,3.3046157
-11.517907,1.2272096
-11.517494,1.4425317
-11.50932,2.5807122
-11.504827,3.0630261
-11.501769,1.1574356
-11.501201,1.8261878
-11.491695,1.3149677
-11.490046,1.5715424
-11.485192,1.5808903
-11.480929,2.5061748
-11.471642,0.54705123
-11.463011,2.9561704
-11.462714,2.19312
-11.456852,1.4531743
-11.456716,2.1270627
-11.452365,2.8467439
-11.451984,1.7044077
-11.445932,4.8214201
-11.445596,1.5022223
-11.432012,0.810166
-11.424559,1.6093753
-11.421768,1.6100508
-11.415385,1.71035
-11.413589,3.2279657
-11.410014,1.0521447
-11.405406,1.9175037
-11.399917,2.2486917
-11.396564,1.2394007
-11.384764,2.7550985
-11.384119,1.0944488
-11.382867,1.966126
-11.382446,2.8379343
-11.380054,1.7068568
-11.378214,2.2136
-11.375534,5.6181424
-11.372217,0.57755395
-11.355351,2.8103857
-11.351102,2.3604077
-11.350895,0.84557923
-11.345752,1.5851406
-11.345453,2.1120625
-11.345317,1.5175802
-11.340722,0.92899933
-11.332614,0.74824916
-11.331751,2.8223516
-11.327863,2.1414509
-11.324368,0.27170966
-11.322581,1.351222
-11.317083,2.905851
-11.315223,2.7388235
-11.29435,3.3760571
-11.289063,0.58300872
-11.288312,4.8042807
-11.287678,1.8035505
-11.284755,1.3657935
-11.283014,3.4131299
-11.274591,2.7434444
-11.264097,3.0925778
-11.255469,0.48236298
-11.239316,2.6853948
-11.23194,1.2853673
-11.228473,1.5364345
-11.225255,1.3778013
-11.222428,1.8264681
-11.221284,5.1583589
-11.219531,1.8752952
-11.202338,0.90698365
-11.201423,1.4308836
-11.197683,2.3523257
-11.1966,2.9676134
-11.194988,1.9872625
-11.192637,1.0396929
-11.190602,0.22534342
-11.190397,2.9474241
-11.189865,3.2395956
-11.189203,2.5131042
-11.184934,1.8894668
-11.167139,0.72450574
-11.166402,0.13537748
-11.165342,0.23142841
-11.160916,3.5686143
-11.159852,3.0684444
-11.158734,1.3964627
-11.157413,3.1990103
-11.157167,1.3045158
-11.155077,2.1528852
-11.154443,0.45999579
-11.150712,3.9007867
-11.147689,2.3438036
-11.146652,3.1834426
-11.144323,1.3950536
-11.13594,1.7793145
-11.134537,1.6691493
-11.134474,2.0637361
-11.132823,3.1323508
-11.132366,3.5455597
-11.131745,3.1784367
-11.129543,3.0284858
-11.128975,1.3172366
-11.127048,0.66971953
-11.127019,-0.23856237
-11.122585,2.2644699
-11.12204,1.8476043
-11.119911,0.61481051
-11.119446,2.0055517
-11.118887,0.1775129
-11.118513,3.9232667
-11.115286,2.0703131
-11.112844,3.729532
-11.112421,1.5385724
-11.108268,0.67881909
-11.107479,2.9544882
-11.103933,2.0135639
-11.10324,1.4430571
-11.102918,2.0849499
-11.102915,2.3719553
-11.102599,3.2101465
-11.102433,0.84239094
-11.101654,2.0809429
-11.099824,2.4668953
-11.099626,1.5183715
-11.099601,2.3086065
-11.099335,3.0935315
-11.096023,2.330741
-11.091299,3.1063345
-11.090938,2.1788102
-11.088727,1.4267097
-11.083414,1.2695929
-11.078249,2.2890694
-11.077728,-0.80415873
-11.076305,2.1070959
-11.071519,1.1619237
-11.070082,2.3216102
-11.069332,3.817519
-11.068843,2.2000783
-11.068748,3.2120269
-11.068036,1.7061497
-11.063837,2.7064941
-11.063307,1.9316861
-11.062821,3.4188144
-11.062522,2.2861271
-11.06121,2.604619
-11.059201,2.4115006
-11.059119,1.4657464
-11.055201,2.4670661
-11.049772,1.6057589
-11.049461,1.3208157
-11.049334,0.69902213
-11.049278,2.4849077
-11.045391,2.4351156
-11.044464,3.4790533
-11.043159,2.4483236
-11.042917,-0.38513565
-11.042473,0.87099214
-11.040838,2.3626701
-11.040809,2.3192919
-11.040526,2.6980332
-11.03905,1.4319588
-11.038451,3.3277899
-11.038369,2.5832295
-11.038354,2.3052182
-11.035581,2.3127838
-11.033581,3.0238891
-11.032189,2.2836078
-11.032032,2.27196
-11.023879,1.2743238
-11.023589,2.0395803
-11.021359,0.0169677
