upmm,anode_entrance

-9.1408785,1.8442004
-9.11029,1.8215111
-9.1088698,1.7615921
-9.0889008,2.1086048
-9.0716261,1.6599027
-9.0645394,1.8240994
-9.0480673,1.9625621
-9.0285933,1.6794081
-9.0192239,1.5511209
-9.0145198,1.5777315
-8.9837433,1.8150967
-8.9793566,1.7263879
-8.9547805,1.9853787
-8.9533713,1.4284158
-8.9309265,1.6470357
-8.9246665,1.6131339
-8.9234128,1.4400081
-8.9199925,1.7796496
-8.9173056,1.8290553
-8.9044476,1.4875319
-8.8800101,-0.74742556
-8.8772303,-0.69829201
-8.8759533,1.7917418
-8.8720521,-0.57397198
-8.8669271,1.6113452
-8.866324,1.3012551
-8.865853,1.7408172
-8.8648764,1.4218687
-8.8621358,-0.38282387
-8.8604277,1.6841591
-8.8474947,-0.63174102
-8.8473676,1.4154405
-8.8455201,-0.88300853
-8.8405955,1.3926808
-8.8403413,1.9316386
-8.8369397,2.1160129
-8.8359773,-0.80199355
-8.8306002,-0.92564762
-8.8287271,-0.9337668
-8.8270919,-0.35786092
-8.8246749,-0.51578332
-8.8195191,1.235268
-8.8165345,1.254148
-8.8145269,-0.98405535
-8.8112796,1.693268
-8.8101057,1.2807762
-8.8100548,1.5007108
-8.8045379,-0.82550743
-8.7997392,1.4995587
-8.7986862,-0.27678304
-8.7984679,-0.54704338
-8.7958155,1.1909618
-8.7902284,1.6436626
-8.7893471,1.403797
-8.7890919,-0.68718627
-8.7861479,-1.0105192
-8.7835724,1.3511391
-8.7823418,1.2427325
-8.781899,1.4358512
-8.7810781,-0.15705755
-8.7760058,-0.99376966
-8.7749203,-1.1036664
-8.7740805,1.676237
-8.7706611,-0.44916468
-8.7685889,-0.33502826
-8.7631316,-0.68528443
-8.7583147,-1.1120312
-8.7510562,-1.1453685
-8.7495542,-0.61516556
-8.7472174,-1.008029
-8.7450315,-0.86200544
-8.7449965,-0.48888876
-8.744445,1.3368096
-8.7443267,-0.16336464
-8.743827,0.21762011
-8.7423131,1.2279401
-8.7404592,1.0977473
-8.7399862,1.4601707
-8.7399783,-0.68597349
-8.7399695,-0.27002348
-8.7386699,0.017265502
-8.7354549,1.5302354
-8.7331434,-0.55695119
-8.7324263,-1.124586
-8.7315429,-1.1871633
-8.7306516,1.293534
-8.7303074,-0.57595439
-8.7294142,-0.82644535
-8.7287927,2.051527
-8.7272067,-0.39076844
-8.725206,-0.10366748
-8.7237321,-1.2154477
-8.7179178,-0.68656026
-8.7156809,-0.81044213
-8.7154981,-0.42531134
-8.7147801,1.3060817
-8.7137882,1.5946683
-8.712617,-0.29891221
-8.711624,-0.97487855
-8.7093575,1.1488876
-8.7079691,-0.95688322
-8.7073006,1.8450936
-8.7046972,1.1491006
