upmm,anode_entrance
-8.5276147,-0.23335703
-8.5255809,-0.065442434
-8.5202065,0.098220194
-8.5139334,-0.40407187
-8.4970676,0.24086681
-8.4916436,-0.32524831
-8.4798933,-0.60493236
-8.479284,-0.011348011
-8.477221,-0.1885868
-8.4757034,0.054390572
-8.4731079,0.17775203
-8.4658592,-0.12464615
-8.4638594,-0.47337259
-8.4481392,0.39781443
-8.4451047,-0.55041921
-8.4292317,0.3217622
-8.4153664,-0.80443806
-8.4130733,-0.68962829
-8.4086656,0.54528691
-8.3992536,-0.76070067
-8.3964022,-0.3260415
-8.3662807,-0.2526253
-8.3652419,0.45844283
-8.3620142,0.51414052
-8.3457855,0.068573865
-8.3433711,-0.024922691
-8.3398906,-0.45956694
-8.3377435,0.1924747
-8.3364835,-0.94746506
-8.331217,0.64818012
-8.3288587,-0.91557874
-8.3114516,0.59236907
-8.3114018,0.31301498
-8.3095716,-0.11957487
-8.3006091,-0.39764156
-8.2996644,-0.73609023
-8.2928228,-0.81248526
-8.2858405,-0.5912329
-8.2800743,0.72806717
-8.2800413,-1.0393526
-8.2799358,0.62863086
-8.2702088,0.010479142
-8.270072,-1.001214
-8.2653138,0.24672205
-8.2632672,0.69351958
-8.2529699,-0.078839001
-8.2403501,0.5438598
-8.2374168,0.090636721
-8.2308134,0.45113241
-8.2292857,0.81235883
-8.2275028,-0.53653483
-8.2253452,0.13940161
-8.2230253,-0.26456745
-8.2190695,-0.9393107
-8.214224,0.58922228
-8.2076074,-1.08481
-8.206609,-1.1462391
-8.2036195,-0.89423223
-8.2030724,0.75462106
-8.1917388,0.34782197
-8.1905331,-0.75094605
-8.1862176,0.89190211
-8.1832884,-0.19891322
-8.1804698,0.78256926
-8.17658,-1.023096
-8.1752396,-1.1269631
-8.1729092,-1.2315269
-8.1701624,0.70957675
-8.1687991,-0.68304322
-8.1669518,0.51197332
-8.1569573,0.4042748
-8.1530894,0.66254215
-8.1516514,0.83497286
-8.149752,0.97463246
-8.1370142,-0.41982279
-8.1327449,0.86144666
-8.1318297,0.74208003
-8.1304663,-0.0042465075
-8.1299149,-1.1961761
-8.1295902,1.0462319
-8.1257869,-1.2227606
-8.1250407,0.91591697
-8.1201092,0.24038864
-8.1180429,-1.094902
-8.1144286,-1.321114
-8.1121558,0.94583637
-8.1117951,0.69814444
-8.1081146,-1.274567
-8.1074072,-0.99001521
-8.1070315,0.61558946
-8.1023276,-1.0205361
-8.1015507,1.007526
-8.1012914,-1.0726457
-8.0984049,0.040243589
-8.0977608,-0.3575887
-8.0900538,1.1245957
-8.0819402,-0.097999504
-8.0818878,-1.3076855
-8.079159,0.79365182
-8.0772544,0.29622079
-8.0767531,0.65452566
-8.0697686,-1.1600078
-8.0689905,-0.92654481
-8.067122,-1.3976479
-8.0662477,1.0621818
-8.0642481,-0.56794675
-8.0605491,0.8191263
-8.0578637,0.137441
-8.0531437,0.5268135
-8.0519053,-0.86590576
-8.0495574,1.0883478
-8.0474333,-1.3714535
-8.0460995,1.2062618
-8.0428778,1.1452453
-8.0398521,0.76077243
-8.0371038,-1.1419164
-8.034269,-0.058915703
-8.0329545,0.90779525
-8.030768,-1.4791894
-8.0290841,-1.26544
-8.0287452,-1.2884458
-8.0259918,0.94798921
-8.024629,1.1725562
-8.0240334,-1.2185853
-8.0211819,0.18610322
-8.0210178,1.005985
-8.0204135,-0.22820408
-8.0201365,0.58623583
-8.0200435,0.86777564
-8.0196898,-0.50875206
-8.0115961,0.78510955
-8.0106785,0.41292782
-8.0080776,1.2932544
-8.0020323,0.72524957
-8.0007763,-1.201447
-7.997415,-1.0962652
-7.9970265,1.0345763
-7.9960405,-1.4412766
-7.9949465,-0.72987033
-7.9920147,1.2284801
-7.9910472,-1.4682478
-7.9887827,-1.0696524
-7.9883102,-1.340231
-7.9864448,0.92610982
-7.9826644,0.88935292
-7.9817351,1.3756175
-7.9806526,-1.5626672
-7.9799278,1.2617936
-7.9775115,-1.0151647
-7.9752591,-1.5183491
-7.9752504,1.131201
-7.9741339,-0.15835841
-7.9725243,0.47268364
-7.9701873,0.6705417
-7.9687548,0.75467468
-7.9684998,0.030722986
-7.9641944,0.96059527
-7.9635301,0.83040799
-7.963368,1.326555
-7.9625958,-1.3245642
-7.9606486,1.0847999
-7.9605617,-1.394844
-7.9585507,0.98273251
-7.958487,1.1580726
-7.9575969,-0.99120938
-7.9535894,-1.5494029
-7.9494198,-0.66463926
-7.9480804,0.29518832
-7.9466994,-1.2821793
-7.9421917,-0.38886064
-7.9415213,-1.634391
-7.9412845,0.85306099
-7.9405599,-1.1650525
-7.9397993,0.078910895
-7.9375797,-1.261386
-7.9370971,0.70092659
-7.9343796,1.1070062
-7.93372,-1.3769439
-7.9335227,1.4873302
-7.9269129,1.3965822
-7.9247912,-1.6088812
-7.9188616,-1.1415806
-7.9187298,1.0344256
-7.9184626,-0.90120379
-7.9173896,1.2107885
-7.917214,0.34673269
-7.9143616,0.57556541
-7.9120086,-1.5063963
-7.91184,-1.7252401
-7.9118269,2.1745403
-7.911753,0.80072093
-7.9108707,-1.5296066
-7.9094146,-1.4574816
-7.908847,1.2587351
-7.9073453,1.4369439
-7.904616,-0.32925182
-7.9026949,0.92826039
-7.8986716,1.0585688
-7.8981853,1.1577017
-7.8979885,2.0986754
-7.8976447,1.3221363
-7.8945965,1.5855175
-7.893892,-1.4372491
-7.893458,-1.2267024
-7.89284,-1.0888734
-7.8902167,2.0120647
-7.888711,0.6196175
-7.8881859,-0.083500621
-7.8871693,-0.8368843
-7.885546,0.81891331
-7.8853419,1.5260542
-7.8844499,-1.3426581
-7.882422,0.94718788
-7.8806419,-1.6752933
-7.8803861,2.2640021
-7.87956,1.2284936
-7.8791864,-1.0644109
-7.8774597,-1.7056442
-7.8772915,1.1814252
-7.8758467,0.89412042
-7.8755378,-1.5794833
-7.8753668,1.3567868
-7.8746636,2.1270791
-7.8731206,1.9172596
-7.8702082,0.75642477
-7.870088,0.17213377
-7.8692475,2.1033389
-7.8684082,-1.3227341
-7.8655022,-1.2084531
-7.8632601,0.986764
-7.8631532,-0.53839933
-7.863037,2.0520656
-7.86285,2.1803683
-7.8614572,2.0241867
-7.8604959,-1.7732837
-7.8597178,-1.8393981
-7.859589,1.9572418
-7.8595416,1.693139
-7.8592284,1.8010698
-7.8588257,1.2687343
-7.8563368,1.6091777
-7.8555034,2.3451413
-7.8554573,-1.5645567
-7.8550224,-0.038511513
-7.8540504,1.1026051
-7.8517431,1.2939749
-7.8505463,-1.6303909
-7.8487639,2.2104824
-7.848467,1.0085958
-7.8475505,0.44822721
-7.8451251,-1.5212362
-7.8450985,-1.4006496
-7.843981,0.91215293
-7.8430098,2.6572735
-7.8427126,2.4938646
-7.8424035,1.6478283
-7.8412882,1.8738724
-7.8397413,-1.2834083
-7.8392293,0.77945783
-7.8392175,1.4311012
-7.8390813,-1.8133756
-7.8382965,-1.4992962
-7.8375436,0.22063759
-7.8366696,1.1268792
-7.8363007,2.2842707
-7.8347977,0.85606494
-7.8347262,1.5069214
-7.8337506,1.8297529
-7.8308053,-1.0183372
-7.8304826,1.718782
-7.8301719,1.7551675
-7.8283563,-1.614293
-7.8265628,-0.47778745
-7.8262679,-0.21714215
-7.8247768,2.1022958
-7.8225335,0.68695086
-7.8214112,2.3652378
-7.8212246,-1.3819056
-7.8196959,-1.1642426
-7.8194074,-1.2657623
-7.8192415,2.0583484
-7.8185114,1.2234243
-7.8181446,1.3582713
-7.8175215,2.0347888
-7.81737,1.9472598
-7.8170828,2.4176426
-7.8170421,1.9824504
-7.8153096,1.0544044
-7.8151861,2.5844377
-7.8149797,1.4638292
-7.8149469,0.50084046
-7.8144296,2.6984166
-7.8139418,2.1282573
-7.8137756,2.5278042
-7.8121879,2.8157775
-7.8119266,-1.9520335
-7.8102006,-0.98194454
-7.8086148,1.5908395
-7.8080831,0.87268388
-7.8074431,-1.7486957
-7.8058531,-1.4597668
-7.8053202,-1.6910133
-7.8051959,-1.8901507
-7.8049634,0.94632169
-7.8044896,-1.7798052
-7.8044631,-0.69192543
-7.804055,-1.1381256
-7.8028948,1.2473509
-7.801134,1.1752648
-7.8004561,1.3933269
-7.7987324,1.0762564
-7.7960941,1.6298189
-7.7958506,1.8670217
-7.7948217,2.7519295
-7.7945274,0.060353869
-7.7922246,0.96371193
-7.7920134,-1.6710573
-7.7896613,-1.583403
-7.7886928,1.5256166
-7.7874883,0.71410367
-7.7871295,-1.9311268
-7.785514,0.81197416
-7.7847251,-0.15536587
-7.7844027,1.2985173
-7.7843032,-1.3424682
-7.7841431,-1.4412904
-7.781086,1.6998388
-7.7807913,2.0576829
-7.7807122,1.7350586
-7.7798126,2.0375649
-7.7793758,1.9718804
