upmm,anode_entrance
-8.6195409,-1.7959426
-8.6186261,-1.8030391
-8.5492888,-1.7982186
-8.5134741,-0.56465531
-8.5070269,-1.8557725
-8.4911203,-1.8164847
-8.4829168,-0.55292533
-8.4758641,-0.58004776
-8.4747736,-1.7845112
-8.4710066,0.30208705
-8.4597367,-1.7288617
-8.4547277,-0.5698141
-8.4538237,-0.57206586
-8.452508,-1.8430441
-8.4427276,-0.56808633
-8.4340516,0.17799491
-8.4335961,0.42072417
-8.4225993,0.26186397
-8.4213986,-0.55182571
-8.4207175,0.33608731
-8.4192713,-0.55891691
-8.4107438,-0.53246121
-8.4100169,0.042741886
-8.4095005,0.22010713
-8.4054254,0.37648172
-8.3991645,0.53234766
-8.395792,-0.56609787
-8.391753,0.13563896
-8.3892827,0.46740586
-8.3841062,0.090554905
-8.3822787,-0.586532
-8.3803982,-0.58034557
-8.3802976,0.27442092
-8.3788585,-0.50746713
-8.3767438,-0.097973206
-8.3756412,0.30839463
-8.3725286,-0.43304617
-8.3709259,-1.9706133
-8.3697746,-0.018149285
-8.3617159,-0.56116325
-8.3575513,-0.46589973
-8.3571269,-0.55670608
-8.3569768,-0.26932495
-8.3568207,0.19612219
-8.3552647,-0.53791025
-8.3540347,0.56702825
-8.347838,0.15579535
-8.3478269,2.322812
-8.345896,2.1211722
-8.3422219,2.9340662
-8.3414305,-1.9117655
-8.3400338,0.2432092
-8.3393471,-0.567844
-8.3386884,0.37771311
-8.3381818,-0.13566962
-8.3353626,0.45053753
-8.334234,0.68986927
-8.3339166,-0.36669878
-8.3323581,0.068860116
-8.3301353,2.1210152
-8.3299727,0.62263058
-8.3283748,-0.30988425
-8.3274575,0.20680158
-8.32743,-0.19745403
-8.3270227,-0.53811063
-8.326887,2.1886846
-8.3264498,0.0091299417
-8.3257857,-0.59273811
-8.3244405,-0.56494823
-8.3217131,1.9011126
-8.320737,1.9825944
-8.3202509,0.3087516
-8.3171806,-0.47837601
-8.3146146,-1.8009499
-8.3132999,1.9100355
-8.3128891,-0.60151852
-8.3127236,-0.57336818
-8.3112847,0.40617534
-8.3097898,-1.9525923
-8.3093427,-0.57562493
-8.3064354,0.13129281
-8.3007126,0.54186651
-8.2992252,2.3233288
-8.2988848,-0.43564007
-8.2988837,-0.55380867
-8.2978081,0.09035882
-8.2960039,0.33761893
-8.2950044,0.17154726
-8.2948223,0.13622092
-8.2934678,-0.60665874
-8.2922853,-0.49889551
-8.292111,0.23880306
-8.2913898,-0.098818066
-8.2901707,2.5587507
-8.2878135,0.73729206
-8.2875409,0.27034931
-8.2857312,-1.7169625
-8.2842344,1.9093756
-8.284215,1.9784691
-8.2835832,-1.8452835
-8.2821565,-0.011524639
-8.2814288,0.86904361
-8.2794766,2.4027916
-8.2781149,3.1098928
-8.2778397,-0.47131009
-8.2771247,0.59875351
-8.2761314,-0.33902837
-8.2761101,1.7899473
-8.2759791,0.46613842
-8.274556,-1.7704514
-8.2726305,-0.28561446
-8.2716693,-0.60046507
-8.2700985,0.79991222
-8.2693922,-0.055655429
-8.2685523,-0.17876628
-8.2678584,2.1226171
-8.267087,1.7829247
-8.2624806,-0.61010018
-8.2616742,-2.1305858
-8.2606371,2.7425727
-8.260095,-2.0622234
-8.2600155,0.50290715
-8.2585773,0.062584448
-8.2581406,2.2037319
-8.2573879,2.6121268
-8.2554476,-0.12996239
-8.2501539,-0.51005095
-8.2472322,-0.3915017
-8.2469766,1.7356131
-8.2465521,0.018025421
-8.2459342,1.7143358
-8.2448905,1.7410192
-8.2431139,2.9412353
-8.2426565,1.7800851
-8.2420877,-0.58035325
-8.2420848,-0.59848266
-8.2387602,-0.61166887
-8.2382826,0.93073854
-8.2370041,-0.34590404
-8.2343828,0.069455784
-8.233626,-1.6060429
-8.233561,0.10418135
-8.2334292,1.7345201
-8.2330012,0.39398711
-8.2319034,1.9217462
-8.2317448,-0.48579489
-8.2317413,-1.8932374
-8.2305735,0.72311806
-8.2305534,-0.24824556
-8.2304493,-0.013839688
-8.2303816,-0.63310004
-8.2301564,0.16788936
-8.2290657,1.0642878
-8.2285586,-0.65437207
-8.2285281,-0.20108284
-8.227668,0.19824478
-8.227322,2.0040904
-8.2246362,-1.667883
-8.2223058,3.0042101
-8.2216968,-0.068295758
