upmm,anode_entrance

-45.032316,-14.421505
-44.098611,-9.0593468
-43.954765,-12.647609
-43.148181,-18.397405
-43.022,-19.171076
-42.725809,-13.632267
-42.677602,-14.001186
-42.668245,-16.592339
-42.639194,-16.53218
-42.567206,-10.797128
-42.495613,-15.351105
-42.461064,-14.980623
-42.447959,-9.8652388
-42.441745,-18.543678
-42.391833,-14.45208
-42.363065,-14.664444
-42.329794,-12.068319
-42.322914,-12.415199
-42.320394,-14.260672
-42.304226,-12.339959
-42.301253,-10.654105
-42.293377,-12.241977
-42.273314,-14.234742
-42.26649,-11.778905
-42.251737,-17.062969
-42.246612,-16.545478
-42.243461,-12.905414
-42.241812,-16.566218
-42.219072,-14.818954
-42.206905,-11.565526
-42.159959,-12.477821
-42.156409,-16.246639
-42.103658,-15.938097
-42.050978,-19.15486
-42.028475,-9.715051
-42.018541,-9.5076173
-42.003514,-10.686233
-42.00196,-14.403765
-41.997746,-9.7721579
-41.994719,-14.177253
-41.983451,-11.392314
-41.97277,-16.858735
-41.972509,-12.783151
-41.948508,-9.9322303
-41.945922,-15.212263
-41.883361,-12.718754
-41.882837,-9.2550274
-41.865206,-9.2352637
-41.852293,-9.0055611
-41.849135,-13.423145
-41.848698,-15.20792
-41.842396,-14.057829
-41.8384,-14.130102
-41.837361,-15.497426
-41.836498,-9.5355389
-41.836361,-11.46159
-41.834304,-8.9855069
-41.829055,-11.192507
-41.827146,-17.87964
-41.820986,-9.298593
-41.817437,-14.138425
-41.81597,-15.735936
-41.812708,-13.89125
-41.783888,-15.761625
-41.778456,-8.6009409
-41.776749,-9.2748854
-41.776297,-15.745711
-41.766519,-13.980471
-41.762482,-17.638007
-41.7522,-17.015323
-41.742057,-10.244182
-41.735987,-17.069343
-41.703158,-13.61247
-41.702251,-15.756408
-41.70076,-11.0781
-41.679617,-16.960068
-41.678224,-10.995913
-41.667817,-14.881569
-41.650019,-19.210811
-41.646204,-10.86961
-41.627608,-10.646709
-41.62148,-15.33365
-41.58172,-15.402705
-41.574039,-17.190838
-41.566087,-16.968502
-41.55401,-15.8724
-41.553054,-14.233064
-41.529124,-11.81896
-41.512361,-9.6346948
-41.511197,-12.059287
-41.502801,-13.890599
-41.502049,-15.522407
-41.495535,-9.9516184
-41.485037,-11.772964
-41.478428,-15.667697
-41.467835,-14.925039
-41.461923,-8.3118915
-41.449876,-14.888617
-41.445052,-16.248003
-41.444642,-17.194215
-41.435274,-15.521643
-41.429334,-13.2393
-41.422031,-15.020993
-41.418575,-16.907661
-41.417747,-12.955982
-41.411656,-15.897834
-41.399531,-19.255746
-41.383496,-17.75315
-41.368185,-16.842078
-41.362027,-15.174289
-41.352881,-11.941159
-41.348147,-15.081368
-41.347604,-11.776925
-41.338041,-17.23959
-41.335941,-15.117163
-41.330334,-8.5891827
-41.320725,-17.827757
-41.318995,-14.781279
-41.311148,-16.740843
-41.307356,-18.589511
-41.303639,-12.083433
-41.295383,-18.548965
-41.29467,-14.045662
-41.291611,-13.446225
-41.290115,-18.489147
-41.290071,-16.935049
-41.280958,-15.852541
-41.280716,-12.144165
-41.280072,-17.031471
-41.267579,-16.681442
-41.266285,-17.05212
-41.25543,-17.817531
-41.253466,-9.8906355
-41.2481,-18.784089
-41.242905,-14.863058
-41.24012,-16.65698
-41.234631,-13.798849
-41.232106,-14.679257
-41.228543,-8.687742
-41.217558,-16.808601
-41.207547,-9.9031271
-41.198817,-18.713247
-41.196446,-18.165243
-41.196384,-15.831167
-41.185894,-16.013615
-41.163893,-14.485247
-41.160646,-10.553036
-41.160561,-13.630765
-41.160133,-15.178
-41.160035,-7.5821391
-41.160028,-15.795286
-41.159725,-18.674527
-41.147784,-18.261983
-41.145294,-13.982009
-41.141985,-18.061667
-41.137786,-7.8340878
-41.13775,-16.383178
-41.136967,-16.563812
-41.132587,-21.079915
-41.127355,-18.900114
-41.122123,-22.194599
-41.117938,-15.605403
-41.112931,-8.0739822
-41.105808,-11.69877
-41.096186,-11.331271
-41.093461,-15.213477
-41.092419,-14.376752
-41.090297,-14.203831
-41.089343,-18.759121
-41.085629,-15.413378
-41.082833,-8.9916055
-41.082697,-16.299855
-41.078263,-16.112893
-41.074707,-11.148719
-41.074662,-17.031846
-41.062972,-15.725951
-41.058459,-15.997363
-41.057464,-21.059793
-41.054981,-17.98719
-41.045949,-17.391167
-41.043197,-13.742429
-41.035774,-14.158318
-41.033083,-15.433714
-41.028918,-13.981128
-41.024481,-8.4562506
-41.023803,-15.926976
-41.023402,-17.688015
-41.015505,-16.400852
-41.008228,-17.361643
-41.007784,-16.47661
-41.002566,-14.056839
-40.996847,-14.110773
-40.992088,-13.970295
-40.990924,-14.106868
-40.986064,-17.074042
