upmm,anode_entrance

-77.333206,-43.156828
-76.384412,-47.595365
-75.262282,-47.228486
-72.284472,-48.266134
-72.0195,-48.076617
-71.917134,-46.737181
-71.820521,-58.394197
-71.780572,-46.978518
-71.778007,-51.161232
-71.775548,-46.204605
-71.702989,-47.989668
-71.526351,-60.230154
-71.519893,-48.780248
-71.433294,-45.099452
-71.39679,-48.765372
-71.341667,-58.441044
-71.146683,-44.120348
-71.137557,-47.313929
-71.094074,-46.908244
-71.091695,-47.529813
-71.085105,-47.705127
-71.051468,-47.176117
-70.977411,-45.39582
-70.853689,-44.185835
-70.750773,-51.789081
-70.723528,-44.056781
-70.722291,-44.135127
-70.717106,-43.385988
-70.683312,-43.276707
-70.634606,-42.806962
-70.601918,-45.0922
-70.569333,-46.655931
-70.560995,-53.937577
-70.524312,-47.534946
-70.510215,-42.31694
-70.500964,-52.515803
-70.498509,-50.655422
-70.482333,-44.505018
-70.471304,-43.576385
-70.466726,-43.408494
-70.446266,-49.398029
-70.446229,-54.774175
-70.426688,-45.806709
-70.372734,-52.48988
-70.366419,-54.273173
-70.328891,-49.888342
-70.272789,-49.395244
-70.247885,-43.633956
-70.215208,-52.197969
-70.204458,-52.714348
-70.197215,-51.98284
-70.123385,-45.170804
-70.104132,-42.572891
-70.099035,-52.768241
-70.086371,-42.609518
-70.070584,-44.965766
-70.033863,-50.240401
-70.02774,-48.844123
-69.994937,-52.256461
-69.949048,-52.127765
-69.939849,-53.119468
-69.919144,-51.350931
-69.907768,-49.472402
-69.905172,-52.134739
-69.898563,-50.418052
-69.897155,-52.201147
-69.885652,-41.971078
-69.827321,-52.547308
-69.801249,-43.785056
-69.800786,-54.488427
-69.799802,-53.105588
-69.796683,-43.875468
-69.789745,-52.111456
-69.78761,-45.072211
-69.76639,-52.939048
-69.696817,-54.640662
-69.645299,-53.230025
-69.640023,-46.407214
-69.635711,-45.144949
-69.580054,-53.361229
-69.578372,-43.251868
-69.511111,-51.992693
-69.502595,-57.142052
-69.440665,-50.057304
-69.386826,-52.024446
-69.380172,-53.36781
-69.339108,-44.573168
-69.336946,-42.924004
-69.277651,-54.252166
-69.250631,-55.194606
-69.250261,-52.571847
-69.242626,-53.010198
-69.221833,-42.688286
-69.205823,-52.270741
-69.175084,-41.560682
-69.160436,-57.569987
-69.153403,-52.502882
-69.14856,-48.919313
-69.126179,-51.381653
-69.0955,-44.219419
-69.076238,-43.422635
-69.064643,-43.104749
-69.053498,-49.461435
-69.050247,-52.94285
-69.031148,-43.594638
-69.019598,-43.212995
-69.015591,-53.053992
-69.011198,-55.461835
-69.010593,-44.432173
-68.981524,-57.155451
-68.972342,-53.193582
-68.958137,-42.044257
-68.944089,-52.922217
-68.931192,-45.516787
-68.922844,-52.829189
-68.916188,-43.481876
-68.896801,-53.252579
-68.876734,-51.098432
-68.864475,-43.699173
-68.852103,-45.030499
-68.850562,-52.997027
-68.829207,-53.039847
-68.807419,-53.738763
-68.780421,-53.482716
-68.7768,-52.973874
-68.770457,-50.99997
-68.76478,-56.911021
-68.762303,-48.775664
-68.752212,-53.134222
-68.729929,-48.618177
-68.709694,-53.067656
-68.700438,-43.96796
-68.698737,-53.899663
-68.694016,-51.069901
-68.670026,-54.211105
-68.659606,-57.138895
-68.635877,-54.021783
-68.628972,-59.244805
-68.603958,-44.799087
-68.596541,-55.497671
-68.593014,-53.755539
-68.584298,-43.007035
-68.579247,-56.794524
-68.573845,-44.037068
-68.559241,-52.810577
-68.558525,-52.991912
-68.534108,-41.936636
-68.529282,-53.469406
-68.516547,-42.369836
-68.429049,-54.511015
-68.389993,-55.314798
-68.387972,-41.971841
-68.387145,-54.089721
-68.377158,-43.632277
-68.363628,-54.321049
-68.360919,-53.716603
-68.345302,-54.716352
-68.333333,-44.811978
-68.246391,-55.263257
-68.238402,-55.186792
-68.215102,-55.231276
-68.213777,-53.107943
-68.207096,-55.441831
-68.205016,-53.028343
-68.196461,-54.930173
-68.181465,-42.945561
-68.162519,-43.639311
-68.146318,-58.052781
-68.129936,-54.002056
-68.127152,-41.81522
-68.104706,-53.696484
-68.066462,-53.629878
-68.059773,-55.054651
-68.055246,-55.140445
-68.048919,-54.115058
-68.031401,-21.976879
-67.979402,-53.439363
-67.971258,-55.009631
-67.96046,-55.026637
-67.947679,-63.816812
-67.850071,-43.688497
-67.848713,-54.351298
-67.828802,-58.481376
-67.786212,-52.994302
-67.776617,-52.261625
-67.77231,-56.098835
-67.747555,-45.647783
-67.728081,-54.946869
-67.719276,-42.321973
-67.712085,-55.281534
-67.703463,-18.502768
-67.650756,-44.472959
-67.626116,-43.014559
-67.593771,-57.03306
-67.549807,-22.294522
-67.52645,-54.387945
-67.523611,-57.04529
-67.516696,-44.31117
-67.511318,-42.575005
-67.499707,-57.207585
-67.46589,-52.442853
-67.420447,-56.715871
-67.4058,-45.822749
-67.375688,-59.223986
-67.314457,-51.741329
-67.312069,-42.383621
-67.304566,-53.804158
-67.292452,-47.450778
-67.291536,-53.51004
-67.275112,-57.294343
-67.268902,-59.110064
-67.246061,-42.47709
-67.225405,-52.478028
-67.219104,-57.388598
-67.215716,-56.439332
-67.200812,-54.993399
-67.168828,-55.382622
-67.15916,-55.821373
-67.157237,-42.422894
-67.149579,-52.893891
-67.14444,-58.939052
-67.141427,-57.540505
-67.137197,-43.968998
-67.123552,-53.033588
-67.088383,-52.209359
-67.062938,-52.89048
-67.028283,-53.465189
-66.987765,-45.51694
-66.979599,-47.14502
-66.975054,-44.534233
-66.949524,-44.195845
-66.925879,-58.322012
-66.876377,-57.641746
-66.845218,-43.595152
-66.841056,-58.031155
-66.834559,-17.567607
-66.815871,-57.745788
-66.773506,-55.316809
-66.645316,-46.075429
-66.644518,-54.909015
-66.608373,-14.893826
-66.584911,-43.393862
-66.570443,-43.707925
-66.538505,-54.965979
-66.534463,-59.182535
-66.50314,-56.009126
-66.491734,-46.363319
-66.449542,-47.037153
-66.439666,-45.065252
-66.437986,-59.072983
-66.419528,-16.811567
-66.404691,-59.537548
-66.368404,-57.245827
-66.367745,-56.863995
-66.339356,-61.383628
-66.336979,-19.699104
-66.324721,-44.859185
-66.279752,-48.677654
-66.26621,-43.348508
-66.26071,-62.220189
-66.253603,-44.661796
-66.24943,-43.298925
-66.244156,-54.363219
-66.232364,-59.830109
-66.202907,-43.28379
-66.171796,-19.336588
-66.166631,-53.679646
-66.161983,-54.49708
-66.153631,-20.195955
-66.152217,-57.405435
-66.112926,-56.628867
-66.088774,-59.819336
-66.07968,-56.532738
-66.067786,-57.401787
-66.066846,-53.491985
-65.983402,-51.588255
-65.971213,-58.559939
-65.933848,-44.138787
-65.916438,-61.426703
-65.908215,-15.861678
-65.867987,-55.774571
-65.855429,-52.844229
-65.839413,-43.473313
-65.795277,-61.640217
-65.793443,-14.498378
-65.78731,-58.444946
-65.766848,-44.205458
-65.765704,-60.579946
-65.759294,-57.195905
-65.756617,-58.455114
-65.741184,-57.709777
-65.715267,-58.740178
-65.713955,-17.629603
-65.71241,-16.29955
-65.697723,-15.244913
-65.693693,-55.753709
-65.683459,-57.194411
-65.679432,-45.180948
-65.641996,-56.455092
-65.636621,-45.621621
-65.592908,-62.061553
-65.592736,-58.46367
-65.589471,-15.947161
-65.582361,-17.141693
-65.582308,-60.558498
-65.576902,-50.235414
-65.571918,-60.639585
-65.561569,-19.456894
-65.550236,-43.258403
-65.527294,-45.956184
-65.516766,-56.091514
-65.511981,-57.594394
-65.501536,-54.692106
-65.500199,-43.478658
-65.498512,-43.872198
-65.491158,-52.605733
-65.49005,-48.419843
-65.483903,-47.540042
-65.481626,-59.542501
-65.474704,-49.760302
-65.473498,-43.635924
-65.462954,-59.24478
-65.434374,-48.328584
-65.416717,-44.728265
-65.415251,-55.84833
-65.409056,-52.193682
-65.405998,-52.953738
-65.348222,-21.795009
-65.344911,-50.558653
-65.340522,-57.075499
-65.340335,-20.501653
-65.329114,-54.983776
-65.320663,-57.733706
-65.318972,-59.228622
-65.306464,-56.547476
-65.296667,-17.692398
-65.288556,-56.392729
-65.283348,-58.320989
-65.276466,-17.457844
-65.271002,-53.846532
-65.26451,-62.425462
-65.263182,-49.313735
-65.244921,-43.966679
-65.231769,-55.945789
-65.231502,-56.166806
-65.228602,-55.771457
-65.220922,-58.242574
-65.2128,-53.422225
-65.20468,-55.405292
-65.203405,-61.004715
-65.200428,-55.495433
-65.179473,-55.523736
-65.178769,-56.072765
-65.176764,-56.760052
-65.165846,-44.798714
-65.165152,-53.714722
-65.153326,-57.983766
-65.148834,-16.179194
-65.142673,-60.13584
-65.124527,-56.268878
-65.119787,-48.458782
-65.117007,-60.247533
-65.113292,-55.62276
-65.080977,-59.541274
-65.074397,-61.26348
-65.07415,-56.571055
-65.073997,-56.582965
-65.059839,-46.125488
-65.051274,-20.653652
-65.049684,-47.975082
-65.044286,-46.803008
-65.039875,-47.829807
-65.039861,-62.828886
-65.023504,-63.568328
-64.986686,-56.107186
-64.967073,-57.49706
-64.959289,-16.938947
-64.956379,-54.129271
-64.955639,-51.079239
-64.953171,-57.319972
-64.9383,-57.562681
-64.92002,-57.165989
-64.918232,-62.03416
-64.898217,-53.375599
-64.892647,-55.93945
-64.887193,-56.150703
-64.883245,-44.037407
-64.868515,-56.657475
-64.868256,-58.538336
-64.857248,-62.492798
-64.852953,-45.675392
-64.849495,-58.312699
-64.849097,-48.417131
-64.846757,-18.637103
-64.840049,-61.375504
-64.838191,-44.351695
-64.835615,-45.966794
-64.806558,-58.914205
-64.773887,-63.084493
-64.764163,-51.921514
-64.755796,-61.827381
-64.754171,-56.096391
-64.733365,-58.354156
-64.715248,-48.240387
-64.710559,-19.464282
-64.689516,-64.897751
-64.688839,-46.507018
-64.677795,-51.625626
-64.674097,-49.60291
-64.67259,-60.085328
-64.671369,-24.536704
-64.660223,-60.429444
-64.654959,-50.103425
-64.653275,-56.242706
-64.646009,-44.006659
-64.638799,-33.083634
-64.62754,-60.032308
-64.62443,-61.917599
-64.611708,-58.058433
-64.600327,-60.938114
-64.598365,-58.549413
-64.595939,-45.729319
-64.583759,-48.417254
-64.57463,-49.610384
-64.569931,-18.360016
-64.551375,-57.819035
-64.5495,-59.463786
-64.543423,-22.366858
-64.524447,-58.062425
-64.517545,-59.77818
-64.508117,-58.581153
-64.504988,-48.565616
-64.49542,-58.416683
-64.485141,-59.023776
-64.471104,-59.342928
-64.462265,-57.524594
-64.461747,-59.816348
-64.460861,-57.715191
-64.410865,-58.520829
-64.410641,-56.451793
-64.403793,-59.299629
-64.402373,-44.588228
-64.396183,-16.374104
-64.39304,-60.012398
-64.38337,-60.497629
-64.370316,-54.423645
-64.359086,-61.065525
-64.356153,-52.467276
-64.350479,-58.301805
-64.346839,-18.547166
-64.341983,-23.665658
-64.336171,-17.735968
-64.322942,-56.650379
-64.317601,-60.951004
-64.311954,-60.228397
-64.298107,-15.513833
-64.293294,-52.576325
-64.28217,-44.612304
-64.264006,-60.532661
-64.250214,-19.041917
-64.246503,-26.659356
-64.237195,-15.299818
-64.223812,-62.883748
-64.201447,-56.863283
-64.193338,-62.805344
-64.19223,-56.451671
-64.161879,-45.201226
-64.159328,-60.567056
-64.155802,-47.199271
-64.136127,-51.232503
-64.10679,-51.378588
-64.099706,-56.418546
-64.073225,-21.148854
-64.042267,-56.254143
-64.039112,-22.902845
-64.035264,-62.207268
-64.023321,-59.579678
-64.022238,-17.157444
-64.016554,-44.506249
-64.010549,-58.161621
-64.010433,-50.988819
-63.998338,-18.083907
-63.994414,-56.131198
-63.976796,-56.670109
-63.959878,-45.610446
-63.954348,-51.50199
-63.952324,-45.871773
-63.930664,-61.575048
-63.928032,-55.626033
-63.905577,-51.383636
-63.89259,-59.224019
-63.881593,-65.323546
-63.873911,-16.238106
-63.873372,-48.412428
-63.855294,-63.460959
-63.846061,-61.58009
-63.839709,-59.814624
-63.831674,-15.372281
-63.825016,-19.708049
-63.824822,-48.168264
-63.819687,-58.840658
-63.80831,-60.601117
-63.794186,-60.515439
-63.793771,-28.199137
-63.792915,-21.001471
-63.733761,-53.793567
-63.731662,-48.350393
-63.726225,-60.877959
-63.72356,-58.412085
-63.714323,-57.510884
